.gitignore ||| 파이썬·데이터·비밀키·인수인계서·일회성 스크립트 제외 규칙 ||| 저장소 위생·보안 유지 ||| .env, data/, *.jsonl, handover/, 디버그 스크립트 ignore ||| 대용량·민감 파일 커밋 차단
CLAUDE.md ||| 프로젝트 단일 진입점(실행법·파이프라인·현재상태·제약) ||| 새 세션 인수인계 핵심 문서 ||| 실행 명령·재실행 스크립트표·현재상태·금지사항 정리 ||| Claude가 즉시 맥락 파악·이어작업 가능
FILMN9.code-workspace ||| RAG/팀원별 JSONL 폴더 묶은 VS Code 워크스페이스 설정 ||| 데이터 탐색 작업환경 구성 ||| folders·fileNesting·search/files.exclude·확장추천 정의 ||| JSONL 중심 개발 편의 향상
FILMN9_MASTER_HANDOVER.txt ||| 새 세션용 마스터 인수인계서(복구 5단계·폴더구조 등) ||| 프로젝트 전체 따라잡기 단일 문서 ||| git/폴더/상태/할일 안내 텍스트 ||| 신규 세션 온보딩 가이드
FILMN9_인수인계서_20260518.txt ||| 5/18 시점 POC 단계 구버전 인수인계서 ||| 초기 재무정보 파트 구조 기록 ||| 경로·src 구조·산출물 목록 텍스트 ||| 과거 진행 이력 보존(아카이브)
README.md ||| 플랫폼 개요·아키텍처·파이프라인·실행법 소개 ||| 저장소 공개 설명 문서 ||| 계층표·산출물표·스크립트표·실행/비공개 안내 ||| 외부인 프로젝트 이해 진입점
requirements.txt ||| WACC 수집용 Python 의존성(streamlit·pandas 등) ||| 환경 셋업 명세 ||| conda 셋업 절차 주석 + 버전상한 패키지 목록 ||| 재현 가능한 개발환경 구성
start.bat ||| FastAPI(8000)+Next.js(3000) 원클릭 기동 배치 ||| 데모 런처 ||| conda python·npm 실행, 브라우저 자동 오픈(HTML 폴백) ||| 시연 환경 한 번에 구동
ticker_universe.csv ||| 종목코드·종목명·시장·WICS·SPAC/우선주 플래그 종목 마스터 ||| 전 종목 기준 명단 ||| 파이프라인의 대상 종목/필터 소스 ||| 동기화·분류 작업의 종목 기준표
wics_sector_data.json ||| WICS 78업종별 종목 수 집계(총 2588종목) ||| 업종 분포 메타데이터 ||| sector_name·count 배열 + 총계 ||| 산업별 대장주·업종 화면 데이터 소스
auto_full_analysis.py ||| DB·코드·API 읽기전용 15개 무인 점검을 일괄 실행해 CSV/MD 리포트 생성 ||| 데이터 품질·시스템 상태를 사람 개입 없이 종합 진단 ||| 15개 검증 태스크 오케스트레이터 ||| OpenAI 0회·무변경으로 종합 품질 리포트 산출
backfill_financials.py ||| gap_fin 누락 종목만 DART에서 재무를 process_stock으로 백필 ||| 상장중인데 재무 빠진 종목 보충 ||| unified_financial_loader 호출 배치 러너 ||| 재무 커버리지 결손 메우고 진행률·ETA 로깅
backfill_ohlcv_full.py ||| 전체 상장종목 장기 일봉을 yfinance period=max로 전수 적재 ||| 차트가 단기만 있는 문제 해결 ||| OHLCV 장기 이력 대량 백필러 ||| 유효성 필터·upsert로 전종목 장기 차트 확보
backfill_price.py ||| gap_price 종목 1년치 OHLCV를 yfinance로 백필(.KS/.KQ 폴백) ||| 주가 누락 종목 보충·진성 거래정지 판별 ||| 누락 주가 백필러 ||| 채워진 종목과 끝까지 빈(정지 확정) 종목 분리
build_analyst_targets.py ||| 시총 3천억+·금융/지주/REIT/스팩/우선주 제외 DCF 타깃 CSV 생성 ||| 애널리스트 리포트 수동 수집 체크리스트 작성 ||| FCFF 대상 종목 선별기 ||| 시총순 우선순위·티어 부여한 다운로드 리스트 산출
build_competitors.py ||| WICS 동종업종+자산총계 인접 N개를 경쟁사로 선정 적재 ||| 종목별 경쟁사 자동 도출 ||| peer_competitors 테이블 빌더 ||| 동일그룹·지주 제외한 규모기반 경쟁사 매핑 생성
build_customers.py ||| 사업보고서 JSONL에서 B2B/B2C/MIXED 고객·채널 추출 적재 ||| 고객사·판매채널 정보 무료 구축 ||| company_customers 테이블 빌더 ||| 매출처·소비자신호·채널을 분류해 고객 메타 생성
build_financials_from_dart.py ||| DART fnlttSinglAcntAll(FY2024 연결우선)로 financials 전체 재적재 ||| 요약재무 단위 불일치 근본 해소 ||| financials 진실원천 재구축기 ||| 백만원 통일·detail 폴백으로 일관된 요약재무 확보
build_financials_summary.py ||| financial_detail을 단위 자동정규화해 financials 요약 전수 생성 ||| 재무 하이라이트·건전성 빈칸 해결 ||| detail→요약 집계기 ||| 최신연도·연결우선·부채비율 계산한 요약테이블 생성
build_sankey_all.py ||| IS/CIS 보유 전종목에 database.build_sankey 호출해 HTML 생성 ||| 손익흐름도 전수 생성 ||| Sankey 일괄 생성 러너 ||| 종목별 Sankey HTML 대량 산출(읽기전용)
build_sankey_v3.py ||| 기업명 소스노드·음수 노랑강조·고정10노드 손익흐름도 전수 생성 ||| Sankey 시각 디자인 개선판 적용 ||| Sankey v3 HTML 빌더 ||| 통일 템플릿·폴백 보완으로 종목별 손익흐름 HTML 갱신
build_stock_status.py ||| KRX피드+KIND+DART+거래량으로 상폐/정지/관리/신규/정상 판정 ||| 종목 거래상태 일일 결정론적 갱신 ||| stock_status 테이블 빌더 ||| 다중소스 우선순위로 정확한 상태배너 데이터 산출
build_ticker_suffix.py ||| KRX-DESC 시장 기준 종목→.KS/.KQ 접미사 테이블 생성 ||| 실시간 시세 정확도 확보 ||| ticker_suffix 매핑 빌더 ||| yfinance 호출용 시장접미사 매핑 적재
check_data_freshness.py ||| 데모 3종목 OHLCV·재무·상세·공시 최신성·출처를 콘솔 출력 ||| 핵심 데이터 적재 상태 점검 ||| 데이터 신선도 확인 스크립트 ||| 종목별 최신값·출처 빠른 가시화
check_full_schema.py ||| DB 전 테이블 컬럼·PK·FK 스키마를 덤프 출력 ||| 스키마 구조 파악 ||| 스키마 조회 유틸 ||| 테이블·인덱스·관계 일람 제공
coverage_report.py ||| 주요 테이블별 distinct 종목수와 재무 유형분포 집계 출력 ||| 3000 전수 커버리지 현황 파악 ||| 커버리지 집계 리포터 ||| 영역별 적재 종목수 한눈 요약
daily_status_update.py ||| gap→주가→재무→DART정지→상태갱신 5단계 순차 실행 ||| 일일 상태·누락데이터 자동 갱신 ||| 데일리 파이프라인 오케스트레이터 ||| 스케줄러로 무중단 일일 데이터 최신화
dart_halt_scan.py ||| DART 거래소공시(I)의 정지/해제 이벤트를 90일창으로 수집 누적 ||| 거래정지 net 상태 정확화 ||| dart_halt_events 수집기 ||| 시드/증분으로 정지·해제 이력 축적
demo_healthcheck.py ||| 데모 3종목 14개 API 응답·필드·시간을 검증해 MD 리포트 ||| 데모 백엔드 정상동작 보증 ||| API 헬스체크 도구 ||| 통과율·실패 항목 리포트로 시연 신뢰성 확보
download_missing_xml.py ||| corp_map 대비 누락종목 2025 사업보고서 XML을 DART에서 자동 다운로드 ||| 원천 XML 결손 보충 ||| 누락 XML 수집기 ||| rcept조회·zip해제·저장으로 XML 커버리지 확대
extract_consolidated_vs_separate.py ||| 연결<별도 이상 종목 BS 상세를 CSV·AI진단 MD로 추출 ||| 연결/별도 라벨오류 진단 자료화 ||| 이상종목 상세 추출기 ||| 피벗·요약표로 원인분석 입력 데이터 생성
fetch_2025_financials.py ||| 데모 3종목 FY2025 BS/CIS/IS를 DART에서 연결·별도 적재 ||| 핵심 종목 최신연도 재무 확보 ||| FY2025 재무 적재기 ||| financial_detail에 데모 3종목 최신 재무 upsert
fix_audit_via_dart_api.py ||| 감사보고서로 잘못받은 종목을 DART API 3개년 연결·별도로 재적재 ||| 감사보고서 종목 재무 정상화 ||| 감사보고서 종목 보충기 ||| 기존 삭제 후 DART 정식 재무로 교체 적재
fix_naver_multi_year.py ||| NAVER FY2024·2023 연결·별도 재무를 DART에서 보충 적재 ||| NAVER 다년 재무 결손 보완 ||| NAVER 전용 재무 보충 스크립트 ||| 삭제후 재적재·검증으로 NAVER 연도커버 완성
gap_analysis.py ||| 상장(DESC) 대비 주가·재무 누락 규모 산출해 backfill_targets.json 저장 ||| 백필 대상 결정 ||| 결손 분석·타깃 생성기 ||| gap_price·gap_fin 산출로 백필 파이프라인 입력 제공
halt_sources.py ||| KIND 정지스냅샷·DART 정지/해제 이벤트 수집 함수 제공 ||| 거래정지 공식출처 모듈화 ||| 정지 데이터 소스 라이브러리 ||| build_stock_status가 쓰는 다중소스 폴백 수집 제공
